Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1993-01-29,26.09820734081024,26.09820734081024,25.96836551324402,26.07965850830078,1003200,0.0,0
1993-02-01,26.098204871355478,26.26514434814453,26.098204871355478,26.26514434814453,480500,0.0,0
1993-02-02,26.246586410490202,26.33933053208204,26.1909399375351,26.320781707763672,201300,0.0,0
1993-02-03,26.35787956418685,26.617563106691154,26.339330739722257,26.599014282226562,529400,0.0,0
1993-02-04,26.69176306194729,26.76595837275187,26.394981818728976,26.710311889648438,531500,0.0,0
1993-02-05,26.691770553588867,26.747417052310734,26.543379890330556,26.691770553588867,492100,0.0,0
1993-02-08,26.691770553588867,26.784514718125312,26.65467288777429,26.691770553588867,596100,0.0,0
1993-02-09,26.599007832745393,26.599007832745393,26.450617273009016,26.506263732910156,122100,0.0,0
1993-02-10,26.506279260940605,26.561925753440832,26.432083937606972,26.543376922607422,379600,0.0,0
1993-02-11,26.58046601975909,26.78450309318362,26.58046601975909,26.67321014404297,19500,0.0,0
1993-02-12,26.636122454273675,26.636122454273675,26.46918296813965,26.46918296813965,42500,0.0,0
1993-02-16,26.39498271846154,26.39498271846154,25.764322555125144,25.801420211791992,374800,0.0,0
1993-02-17,25.801425800735142,25.838523465437852,25.690132806627012,25.78287696838379,210900,0.0,0
1993-02-18,26.07965042850283,26.07965042850283,25.411892665041876,25.764320373535156,378100,0.0,0
1993-02-19,25.764317263489644,25.8570613861084,25.727219614442145,25.8570613861084,34900,0.0,0
1993-02-22,25.93125357638094,25.986900043283043,25.857058287178134,25.94980239868164,513600,0.0,0
1993-02-23,26.024005200900405,26.042554028556072,25.801419269032404,25.93126106262207,373700,0.0,0
1993-02-24,25.94981422532076,26.26514434814453,25.94981422532076,26.26514434814453,26300,0.0,0
1993-02-25,26.246586410490202,26.33933053208204,26.1909399375351,26.320781707763672,44500,0.0,0
1993-02-26,26.37644182402512,26.37644182402512,26.22805115272259,26.357892990112305,66200,0.0,0
1993-03-01,26.450627032854058,26.450627032854058,26.24658993793022,26.283687591552734,66500,0.0,0
1993-03-02,26.30223364690746,26.67321014404297,26.26513599719391,26.67321014404297,182400,0.0,0
1993-03-03,26.71032194945951,26.80306612289513,26.673224280085257,26.784517288208008,280100,0.0,0
1993-03-04,26.82160430100635,26.82160430100635,26.63611602783203,26.63611602783203,89500,0.0,0
1993-03-05,26.67320355090349,26.78449647253452,26.543361809000622,26.56191062927246,40000,0.0,0
1993-03-08,26.617554165626483,27.15546989440918,26.617554165626483,27.15546989440918,50800,0.0,0
1993-03-09,27.099845622156156,27.1183944555731,27.00710145507143,27.062747955322266,169300,0.0,0
